date,code,qty,rate,month
2026-02-18 20:24:01.837,10025542,3,1195,2026-02
2026-02-18 20:24:01.890,10025821,4,1595,2026-02
2026-02-18 20:57:28.910,10025820,4,1595,2026-02
2026-02-07 19:39:54.316,10025105,4,650,2026-02
2026-04-23 15:54:30.931,10028818,4,795,2026-04
2026-04-13 20:22:42.944,10028268,4,335,2026-04
2026-02-11 20:47:20.578,10022578,4,1195,2026-02
2026-04-03 16:13:13.201,10027298,4,1150,2026-04
2026-04-16 12:45:31.952,10028637,4,875,2026-04
2026-04-23 18:52:50.260,10028758,4,550,2026-04
2026-04-23 18:52:50.260,10028755,4,550,2026-04
2026-04-23 18:52:50.260,10028754,4,550,2026-04
2026-02-27 19:58:33.630,10022578,8,1195,2026-02
2026-02-20 20:05:54.489,10025103,4,1195,2026-02
2026-02-20 20:39:59.608,10022091,4,1250,2026-02
2026-02-24 19:59:27.657,10025105,3,650,2026-02
2026-04-24 10:48:23.650,500001,4,1295,2026-04
2026-04-24 10:48:23.649,10028794,4,1095,2026-04
2026-02-24 20:14:52.593,10022578,4,1195,2026-02
2026-04-24 10:48:23.649,10028831,4,875,2026-04
2026-04-24 10:48:23.649,10029120,4,1195,2026-04
2026-04-24 10:48:23.650,10027735,3,975,2026-04
2026-04-24 10:48:23.650,10028960,3,1095,2026-04
2026-02-13 14:31:11.258,10025105,4,650,2026-02
2026-04-24 13:43:49.970,10028794,4,1095,2026-04
2026-02-14 20:35:26.569,10025105,4,650,2026-02
2026-04-11 15:36:59.607,10027912,4,625,2026-04
2026-04-11 15:36:59.609,10027514,4,950,2026-04
2026-04-24 18:24:24.098,10028268,4,335,2026-04
2026-04-24 18:32:16.407,10027279,4,550,2026-04
2026-04-24 18:32:16.407,10028257,4,775,2026-04
2026-04-24 18:32:16.407,10027735,3,975,2026-04
2026-04-24 18:33:22.185,10029329,8,875,2026-04
2026-04-24 19:07:17.996,10027734,3,975,2026-04
2026-04-24 19:07:17.996,10029110,4,995,2026-04
2026-04-24 19:07:17.996,10028268,4,335,2026-04
2026-04-24 19:07:17.996,10028636,4,875,2026-04
2026-04-24 19:07:17.996,10028638,4,875,2026-04
2026-04-24 19:07:17.996,10029034,4,850,2026-04
2026-04-15 20:24:52.501,10028518,4,795,2026-04
2026-04-16 17:02:55.281,10027896,4,550,2026-04
2026-04-24 20:53:38.181,10028269,36,335,2026-04
2026-04-25 11:50:44.733,10028268,4,335,2026-04
2026-04-25 11:50:44.733,10029215,8,650,2026-04
2026-04-25 11:50:44.733,10029228,4,750,2026-04
2026-04-25 11:59:09.268,10029328,12,875,2026-04
2026-04-25 11:59:09.268,10029329,12,875,2026-04
2026-04-25 11:59:09.268,10029330,20,875,2026-04
2026-03-05 17:47:59.650,10025542,6,1150,2026-03
2026-04-06 09:55:52.673,10027735,3,975,2026-04
2026-04-11 20:50:41.680,10027634,3,750,2026-04
2026-04-25 17:57:49.820,10029241,4,950,2026-04
2026-04-25 17:57:49.820,10029123,4,995,2026-04
2026-03-07 18:42:40.267,10022091,4,1250,2026-03
2026-03-07 18:42:40.256,10025820,4,1595,2026-03
2026-04-25 21:19:35.353,10029305,8,725,2026-04
2026-04-25 21:19:35.352,10029306,8,725,2026-04
2026-04-25 21:19:35.352,10029125,4,875,2026-04
2026-04-25 21:19:35.352,10029274,12,625,2026-04
2026-04-25 21:19:35.353,10029126,8,875,2026-04
2026-04-25 21:53:23.435,10025542,4,1150,2026-04
2026-04-25 21:53:23.435,10029128,5,995,2026-04
2026-04-25 21:53:23.436,10029129,10,1150,2026-04
2026-04-25 21:53:23.436,10028268,4,335,2026-04
2026-04-25 21:53:23.436,10029301,5,895,2026-04
2026-04-27 10:58:11.645,10029367,4,1125,2026-04
2026-04-27 11:34:27.081,10029409,4,850,2026-04
2026-04-27 11:34:27.081,10029234,4,875,2026-04
2026-04-27 11:34:27.080,10029326,4,1025,2026-04
2026-04-27 11:34:27.080,10029353,4,1125,2026-04
2026-04-27 11:34:27.080,10029327,4,1025,2026-04
2026-04-27 11:34:27.080,10029328,4,875,2026-04
2026-04-27 11:34:27.080,10029240,4,950,2026-04
2026-04-01 16:12:15.592,10027299,4,1150,2026-04
2026-04-27 12:57:20.931,10029110,8,995,2026-04
2026-04-27 12:57:20.931,10029242,8,695,2026-04
2026-04-06 16:19:45.435,10027574,4,995,2026-04
2026-04-06 16:33:37.556,10027542,4,875,2026-04
2026-04-27 13:12:43.747,10029345,5,795,2026-04
2026-04-27 13:12:43.747,10029409,4,850,2026-04
2026-04-27 13:12:43.747,10029232,4,750,2026-04
2026-04-27 13:12:43.747,10029410,4,850,2026-04
2026-04-27 13:12:43.747,10029231,4,750,2026-04
2026-04-27 13:12:43.747,10029370,4,1125,2026-04
2026-04-27 13:12:43.747,10029271,5,575,2026-04
2026-04-27 13:12:43.747,10028568,4,925,2026-04
2026-04-27 13:12:43.747,10029301,5,895,2026-04
2026-04-27 13:12:43.747,10029273,5,575,2026-04
2026-04-27 13:29:52.062,10029125,8,875,2026-04
2026-04-16 17:14:56.689,10028268,4,335,2026-04
2026-04-27 13:29:52.062,10029126,4,875,2026-04
2026-04-06 16:19:45.435,10027576,4,995,2026-04
2026-04-06 16:49:05.726,10027736,4,925,2026-04
2026-04-06 17:07:53.954,10027298,4,1150,2026-04
2026-04-27 15:13:21.793,10029301,5,895,2026-04
2026-04-27 15:13:21.794,10029345,5,795,2026-04
2026-04-27 15:13:21.794,10029346,5,795,2026-04
2026-04-27 15:13:21.794,10029131,4,775,2026-04
2026-04-27 15:13:21.794,10029234,4,875,2026-04
2026-04-13 13:19:05.299,10027806,4,625,2026-04
2026-04-27 16:40:06.258,10029370,4,1125,2026-04
2026-04-27 17:04:08.026,10029410,4,850,2026-04
2026-04-27 19:03:28.019,10029443,10,995,2026-04
2026-04-27 19:03:28.020,10029440,10,1125,2026-04
2026-04-27 20:14:28.277,10028978,4,1025,2026-04
2026-04-27 20:14:28.277,10029035,4,850,2026-04
2026-04-27 20:14:28.277,10028960,3,1095,2026-04
2026-04-27 20:14:28.277,10016728,4,875,2026-04
2026-03-12 19:33:49.136,10025542,3,1150,2026-03
2026-04-27 21:05:57.155,10029329,4,875,2026-04
2026-04-27 21:05:57.155,10028269,4,335,2026-04
2026-04-28 11:10:59.098,10029342,5,1075,2026-04
2026-04-28 11:10:59.098,10029351,5,1125,2026-04
2026-04-28 11:10:59.098,10029365,5,895,2026-04
2026-04-28 11:10:59.098,10029463,4,695,2026-04
2026-04-28 11:10:59.098,10029242,4,695,2026-04
2026-04-28 11:10:59.098,10028520,4,795,2026-04
2026-04-28 11:10:59.098,10029244,4,695,2026-04
2026-04-28 11:32:29.895,10029354,4,1250,2026-04
2026-04-28 11:32:29.890,10029444,5,995,2026-04
2026-04-28 11:32:29.890,10029240,4,950,2026-04
2026-04-28 11:32:29.890,10029353,4,1125,2026-04
2026-04-28 11:32:29.891,10029365,5,895,2026-04
2026-04-28 11:32:29.895,10029131,4,775,2026-04
2026-04-28 11:32:29.895,10029301,5,895,2026-04
2026-04-02 18:11:15.215,10025821,4,1595,2026-04
2026-04-03 15:08:52.176,10027299,4,1150,2026-04
2026-04-28 15:43:28.896,10028449,4,775,2026-04
2026-04-28 15:57:16.098,10029411,4,950,2026-04
2026-04-28 15:57:16.098,10029229,3,750,2026-04
2026-04-28 15:57:16.098,10029350,5,1125,2026-04
2026-04-28 15:57:16.098,10029129,5,1150,2026-04
2026-04-28 15:57:16.098,10027734,3,975,2026-04
2026-04-28 15:57:16.098,10029234,4,875,2026-04
2026-04-28 15:57:16.097,10029231,4,750,2026-04
2026-04-28 16:49:36.092,10027278,4,550,2026-04
2026-04-28 16:49:36.092,10027279,4,550,2026-04
2026-04-28 16:49:36.092,10029142,4,850,2026-04
2026-04-28 16:49:36.092,10029365,5,895,2026-04
2026-04-28 16:49:36.092,10029241,4,950,2026-04
2026-04-13 16:49:29.467,10027299,4,1150,2026-04
2026-04-28 16:51:49.974,10029329,8,875,2026-04
2026-04-28 16:51:49.975,10029330,8,875,2026-04
2026-04-28 16:51:49.975,10029328,8,875,2026-04
2026-04-28 16:51:49.975,10026674,12,875,2026-04
